iter	Passed	Remaining
491	619	639
492	621	638
493	622	637
494	623	635
495	624	634
496	625	633
497	626	631
498	627	630
499	629	629
500	630	627
501	631	626
502	632	625
503	633	623
504	635	622
505	636	621
506	637	620
507	638	618
508	639	617
509	641	616
510	642	614
511	643	613
512	644	612
513	645	610
514	646	609
515	648	607
516	649	606
517	650	605
518	651	603
519	652	602
520	653	601
521	655	599
522	656	598
523	657	597
524	658	596
525	659	594
526	661	593
527	662	592
528	663	590
529	664	589
530	665	587
531	666	586
532	668	585
533	669	584
534	670	582
535	671	581
536	672	580
537	674	578
538	675	577
539	676	575
540	677	574
541	678	573
542	679	572
543	680	570
544	681	569
545	683	568
546	684	566
547	685	565
548	686	564
549	687	562
550	688	561
551	690	560
552	691	558
553	692	557
554	693	556
555	694	554
556	695	553
557	697	552
558	698	551
559	699	549
560	700	548
561	702	547
562	703	546
563	704	544
564	705	543
565	707	542
566	708	540
567	709	539
568	710	538
569	711	537
570	713	535
571	714	534
572	715	533
573	716	531
574	717	530
575	718	528
576	719	527
577	721	526
578	722	525
579	723	524
580	725	522
581	726	521
582	727	520
583	728	518
584	729	517
585	730	516
586	731	514
587	732	513
588	733	512
589	736	511
590	737	510
591	738	509
592	739	507
593	741	506
594	742	505
595	743	503
596	744	502
597	745	501
598	747	500
599	748	498
600	749	497
601	750	496
602	751	494
603	752	493
604	753	492
605	755	490
606	756	489
607	757	488
608	758	487
609	759	485
610	761	484
611	762	483
612	763	482
613	764	480
614	765	479
615	766	478
616	768	476
617	769	475
618	770	474
619	771	473
620	772	471
621	774	470
622	775	469
623	776	467
624	777	466
625	778	465
626	779	463
627	781	462
628	782	461
629	783	460
630	784	458
631	786	457
632	787	456
633	788	455
634	789	453
635	790	452
636	791	451
637	792	449
638	793	448
639	795	447
640	796	446
641	797	444
642	798	443
643	799	442
644	801	440
645	802	439
646	803	438
647	804	437
648	805	435
649	807	434
650	808	433
651	809	432
652	810	430
653	811	429
654	813	428
655	814	426
656	815	425
657	816	424
658	818	423
659	819	422
660	820	420
661	821	419
662	822	418
663	823	416
664	824	415
665	825	414
666	827	413
667	829	412
668	830	410
669	831	409
670	832	408
671	834	407
672	835	405
673	836	404
674	837	403
675	838	402
676	840	400
677	841	399
678	842	398
679	843	396
680	844	395
681	846	394
682	847	393
683	848	391
684	849	390
685	851	389
686	852	388
687	853	386
688	854	385
689	855	384
690	857	383
691	858	381
692	859	380
693	860	379
694	861	378
695	863	376
696	864	375
697	865	374
698	866	373
699	867	371
700	869	370
701	870	369
702	871	368
703	872	366
704	874	365
705	875	364
706	876	363
707	877	361
708	878	360
709	879	359
710	880	357
711	881	356
712	883	355
713	884	354
714	885	353
715	887	351
716	888	350
717	889	349
718	890	348
719	892	347
720	893	345
721	894	344
722	897	343
723	898	342
724	899	341
725	900	339
726	901	338
727	902	337
728	904	336
729	905	335
730	906	333
731	908	332
732	909	331
733	910	329
734	911	328
735	912	327
736	913	326
737	914	324
738	916	323
739	917	322
740	918	321
741	919	319
742	921	318
743	922	317
744	923	316
745	924	314
746	925	313
747	926	312
748	927	310
749	929	309
750	930	308
751	931	307
752	932	305
753	933	304
754	934	303
755	936	302
756	937	301
757	939	299
758	940	298
759	941	297
760	943	296
761	945	295
762	946	293
763	947	292
764	948	291
765	950	290
766	951	289
767	953	287
768	954	286
769	955	285
770	956	284
771	958	282
772	959	281
773	960	280
774	961	279
775	962	277
776	963	276
777	966	275
778	967	274
779	968	273
780	969	271
781	970	270
782	971	269
783	972	268
784	973	266
785	975	265
786	976	264
787	977	262
788	978	261
789	979	260
790	980	259
791	982	257
792	983	256
793	984	255
794	985	254
795	986	252
796	987	251
797	989	250
798	990	249
799	991	247
800	992	246
801	993	245
802	994	244
803	996	242
804	997	241
805	998	240
806	1000	239
807	1001	237
808	1002	236
809	1004	235
810	1005	234
811	1006	233
812	1007	231
813	1009	230
814	1010	229
815	1011	228
816	1012	226
817	1013	225
818	1015	224
819	1016	223
820	1017	221
821	1018	220
822	1019	219
823	1020	218
824	1022	216
825	1023	215
826	1026	214
827	1028	213
828	1029	212
829	1031	211
830	1033	210
831	1034	208
832	1035	207
833	1036	206
834	1037	205
835	1039	203
836	1040	202
837	1041	201
838	1042	200
839	1043	198
840	1045	197
841	1047	196
842	1050	195
843	1051	194
844	1052	193
845	1054	191
846	1055	190
847	1056	189
848	1057	188
849	1058	186
850	1059	185
851	1061	184
852	1062	183
853	1063	181
854	1064	180
855	1066	179
856	1068	178
857	1070	177
858	1072	176
859	1073	174
860	1075	173
861	1076	172
862	1077	171
863	1078	169
864	1080	168
865	1082	167
866	1084	166
867	1086	165
868	1088	164
869	1089	162
870	1091	161
871	1092	160
872	1093	159
873	1094	157
874	1096	156
875	1097	155
876	1098	154
877	1099	152
878	1101	151
879	1102	150
880	1103	149
881	1104	147
882	1105	146
883	1106	145
884	1107	143
885	1108	142
886	1110	141
887	1111	140
888	1112	138
889	1113	137
890	1114	136
891	1116	135
892	1117	133
893	1118	132
894	1120	131
895	1121	130
896	1122	128
897	1123	127
898	1124	126
899	1126	125
900	1127	123
901	1128	122
902	1129	121
903	1130	120
904	1131	118
905	1133	117
906	1134	116
907	1135	115
908	1136	113
909	1137	112
910	1138	111
911	1140	110
912	1141	108
913	1142	107
914	1143	106
915	1144	104
916	1145	103
917	1147	102
918	1148	101
919	1149	99
920	1150	98
921	1151	97
922	1153	96
923	1154	94
924	1155	93
925	1156	92
926	1157	91
927	1159	89
928	1160	88
929	1161	87
930	1162	86
931	1163	84
932	1164	83
933	1165	82
934	1166	81
935	1167	79
936	1169	78
937	1170	77
938	1171	76
939	1172	74
940	1173	73
941	1175	72
942	1176	71
943	1177	69
944	1178	68
945	1179	67
946	1181	66
947	1182	64
948	1183	63
949	1184	62
950	1185	61
951	1186	59
952	1188	58
953	1189	57
954	1190	56
955	1191	54
956	1193	53
957	1194	52
958	1195	51
959	1196	49
960	1197	48
961	1198	47
962	1199	46
963	1200	44
964	1201	43
965	1203	42
966	1204	41
967	1205	39
968	1206	38
969	1207	37
970	1209	36
971	1210	34
972	1211	33
973	1213	32
974	1214	31
975	1215	29
976	1216	28
977	1218	27
978	1219	26
979	1220	24
980	1221	23
981	1222	22
982	1223	21
983	1224	19
984	1225	18
985	1226	17
986	1228	16
987	1229	14
988	1230	13
989	1231	12
990	1232	11
991	1234	9
992	1235	8
993	1236	7
994	1237	6
995	1238	4
996	1240	3
997	1241	2
998	1242	1
999	1243	0
